accel_id,trip_id,timestamp,elapsed_seconds,acc_x_m_s2,acc_y_m_s2,acc_z_m_s2,accel_mag_m_s2,speed_kmh,event_label
ACC_TRIP002_00000,TRIP222,2024-02-06T07:15:00Z,0,0.5,0.278,9.718,9.735,31.59,normal
ACC_TRIP002_00001,TRIP222,2024-02-06T07:15:01Z,1,0.39,0.099,9.72,9.728,30.82,normal
ACC_TRIP002_00002,TRIP222,2024-02-06T07:15:02Z,2,-0.039,-0.671,9.808,9.831,32.28,normal
ACC_TRIP002_00003,TRIP222,2024-02-06T07:15:03Z,3,-0.145,-0.333,9.914,9.921,31.44,normal
ACC_TRIP002_00004,TRIP222,2024-02-06T07:15:04Z,4,-0.514,0.041,9.815,9.829,30.75,normal
ACC_TRIP002_00005,TRIP222,2024-02-06T07:15:05Z,5,0.434,0.178,9.747,9.759,29.61,normal
ACC_TRIP002_00006,TRIP222,2024-02-06T07:15:06Z,6,0.265,0.049,9.851,9.855,25.86,normal
ACC_TRIP002_00007,TRIP222,2024-02-06T07:15:07Z,7,0.219,0.009,9.841,9.844,25.42,normal
ACC_TRIP002_00008,TRIP222,2024-02-06T07:15:08Z,8,0.299,1.029,9.79,9.848,24.55,normal
ACC_TRIP002_00009,TRIP222,2024-02-06T07:15:09Z,9,-0.56,0.433,9.741,9.767,25.16,normal
ACC_TRIP002_00010,TRIP222,2024-02-06T07:15:10Z,10,0.352,-0.471,9.753,9.771,26.36,normal
ACC_TRIP002_00011,TRIP222,2024-02-06T07:15:11Z,11,0.466,0.21,9.798,9.812,27.89,normal
ACC_TRIP002_00012,TRIP222,2024-02-06T07:15:12Z,12,-0.319,0.353,9.731,9.742,29.91,normal
ACC_TRIP002_00013,TRIP222,2024-02-06T07:15:13Z,13,-0.384,0.167,9.833,9.842,29.83,normal
ACC_TRIP002_00014,TRIP222,2024-02-06T07:15:14Z,14,-0.295,0.328,9.958,9.968,27.96,normal
ACC_TRIP002_00015,TRIP222,2024-02-06T07:15:15Z,15,-0.068,-0.019,9.593,9.593,27.69,normal
ACC_TRIP002_00016,TRIP222,2024-02-06T07:15:16Z,16,-0.477,-0.388,9.809,9.828,26.87,normal
ACC_TRIP002_00017,TRIP222,2024-02-06T07:15:17Z,17,-0.144,-0.108,9.914,9.915,27.79,normal
ACC_TRIP002_00018,TRIP222,2024-02-06T07:15:18Z,18,0.03,-0.333,9.912,9.917,26.65,normal
ACC_TRIP002_00019,TRIP222,2024-02-06T07:15:19Z,19,-0.525,-0.405,9.852,9.875,26.7,normal
ACC_TRIP002_00020,TRIP222,2024-02-06T07:15:20Z,20,-0.129,-0.067,9.72,9.722,27.05,normal
ACC_TRIP002_00021,TRIP222,2024-02-06T07:15:21Z,21,-0.3,0.351,9.866,9.877,28.23,normal
ACC_TRIP002_00022,TRIP222,2024-02-06T07:15:22Z,22,-0.381,-0.085,9.735,9.743,28.64,normal
ACC_TRIP002_00023,TRIP222,2024-02-06T07:15:23Z,23,0.144,0.581,9.787,9.805,27.58,normal
ACC_TRIP002_00024,TRIP222,2024-02-06T07:15:24Z,24,-0.004,-0.147,9.77,9.771,27.81,normal
ACC_TRIP002_00025,TRIP222,2024-02-06T07:15:25Z,25,0.084,-0.019,9.901,9.902,29.73,normal
ACC_TRIP002_00026,TRIP222,2024-02-06T07:15:26Z,26,-0.056,0.018,9.908,9.908,30.91,normal
ACC_TRIP002_00027,TRIP222,2024-02-06T07:15:27Z,27,-0.795,-0.092,9.822,9.854,29.83,normal
ACC_TRIP002_00028,TRIP222,2024-02-06T07:15:28Z,28,-0.139,-0.282,9.863,9.868,27.16,normal
ACC_TRIP002_00029,TRIP222,2024-02-06T07:15:29Z,29,0.249,-0.078,9.751,9.754,27.41,normal
ACC_TRIP002_00030,TRIP222,2024-02-06T07:15:30Z,30,-0.169,0.265,9.726,9.731,27.88,normal
ACC_TRIP002_00031,TRIP222,2024-02-06T07:15:31Z,31,0.25,0.418,9.868,9.88,28.53,normal
ACC_TRIP002_00032,TRIP222,2024-02-06T07:15:32Z,32,0.16,0.214,9.93,9.933,28.13,normal
ACC_TRIP002_00033,TRIP222,2024-02-06T07:15:33Z,33,0.591,-0.079,9.652,9.671,27.69,normal
ACC_TRIP002_00034,TRIP222,2024-02-06T07:15:34Z,34,0.132,-0.06,9.94,9.941,27.93,normal
ACC_TRIP002_00035,TRIP222,2024-02-06T07:15:35Z,35,0.001,-0.982,9.792,9.841,28.83,normal
ACC_TRIP002_00036,TRIP222,2024-02-06T07:15:36Z,36,-0.452,0.082,9.922,9.933,31.03,normal
ACC_TRIP002_00037,TRIP222,2024-02-06T07:15:37Z,37,0.54,0.706,9.797,9.838,32.17,normal
ACC_TRIP002_00038,TRIP222,2024-02-06T07:15:38Z,38,0.284,0.256,9.93,9.937,29.51,normal
ACC_TRIP002_00039,TRIP222,2024-02-06T07:15:39Z,39,-0.393,0.395,9.826,9.842,30.9,normal
ACC_TRIP002_00040,TRIP222,2024-02-06T07:15:40Z,40,0.256,-0.392,9.897,9.908,28.67,normal
ACC_TRIP002_00041,TRIP222,2024-02-06T07:15:41Z,41,0.173,0.074,9.763,9.765,27.76,normal
ACC_TRIP002_00042,TRIP222,2024-02-06T07:15:42Z,42,0.055,0.248,9.788,9.792,25.72,normal
ACC_TRIP002_00043,TRIP222,2024-02-06T07:15:43Z,43,0.062,-0.492,9.813,9.826,23.22,normal
ACC_TRIP002_00044,TRIP222,2024-02-06T07:15:44Z,44,-0.099,0.281,9.875,9.879,24.31,normal
ACC_TRIP002_00045,TRIP222,2024-02-06T07:15:45Z,45,0.105,0.715,9.7,9.727,25.12,normal
ACC_TRIP002_00046,TRIP222,2024-02-06T07:15:46Z,46,-0.023,0.497,9.86,9.872,26.46,normal
ACC_TRIP002_00047,TRIP222,2024-02-06T07:15:47Z,47,0.525,0.115,9.774,9.788,28.26,normal
ACC_TRIP002_00048,TRIP222,2024-02-06T07:15:48Z,48,0.136,0.222,9.644,9.648,27.02,normal
ACC_TRIP002_00049,TRIP222,2024-02-06T07:15:49Z,49,-0.452,-0.295,9.778,9.793,28.32,normal
ACC_TRIP002_00050,TRIP222,2024-02-06T07:15:50Z,50,0.058,-0.187,9.845,9.847,28.09,normal
ACC_TRIP002_00051,TRIP222,2024-02-06T07:15:51Z,51,-0.209,-0.077,9.748,9.751,27.81,normal
ACC_TRIP002_00052,TRIP222,2024-02-06T07:15:52Z,52,-0.119,0.078,9.947,9.948,23.73,normal
ACC_TRIP002_00053,TRIP222,2024-02-06T07:15:53Z,53,0.603,-0.053,9.783,9.802,22.27,normal
ACC_TRIP002_00054,TRIP222,2024-02-06T07:15:54Z,54,0.184,0.175,9.82,9.823,19.6,normal
ACC_TRIP002_00055,TRIP222,2024-02-06T07:15:55Z,55,-0.071,0.398,9.854,9.862,18.19,normal
ACC_TRIP002_00056,TRIP222,2024-02-06T07:15:56Z,56,-0.249,-0.206,9.88,9.886,17.81,normal
ACC_TRIP002_00057,TRIP222,2024-02-06T07:15:57Z,57,0.3,-0.409,9.715,9.728,15.65,normal
ACC_TRIP002_00058,TRIP222,2024-02-06T07:15:58Z,58,0.251,-0.248,9.571,9.578,17.82,normal
ACC_TRIP002_00059,TRIP222,2024-02-06T07:15:59Z,59,-0.038,-0.015,9.817,9.817,17.33,normal
ACC_TRIP002_00060,TRIP222,2024-02-06T07:16:00Z,60,0.42,-0.208,9.767,9.778,17.03,normal
ACC_TRIP002_00061,TRIP222,2024-02-06T07:16:01Z,61,-0.342,0.381,9.782,9.796,18.52,normal
ACC_TRIP002_00062,TRIP222,2024-02-06T07:16:02Z,62,0.024,0.408,9.83,9.838,17.13,normal
ACC_TRIP002_00063,TRIP222,2024-02-06T07:16:03Z,63,0.217,-0.353,9.764,9.773,16.37,normal
ACC_TRIP002_00064,TRIP222,2024-02-06T07:16:04Z,64,-0.386,-0.065,9.731,9.739,16.43,normal
ACC_TRIP002_00065,TRIP222,2024-02-06T07:16:05Z,65,0.34,0.139,9.855,9.862,17.35,normal
ACC_TRIP002_00066,TRIP222,2024-02-06T07:16:06Z,66,0.453,-0.053,9.639,9.649,17.11,normal
ACC_TRIP002_00067,TRIP222,2024-02-06T07:16:07Z,67,0.214,-0.067,9.83,9.832,17.19,normal
