audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db
AUD_TRIP003_00000,TRIP223,2024-02-06T07:52:00Z,0,58
AUD_TRIP003_00001,TRIP223,2024-02-06T07:52:01Z,1,61
AUD_TRIP003_00002,TRIP223,2024-02-06T07:52:02Z,2,52
AUD_TRIP003_00003,TRIP223,2024-02-06T07:52:03Z,3,51
AUD_TRIP003_00004,TRIP223,2024-02-06T07:52:04Z,4,58
AUD_TRIP003_00005,TRIP223,2024-02-06T07:52:05Z,5,56
AUD_TRIP003_00006,TRIP223,2024-02-06T07:52:06Z,6,52
AUD_TRIP003_00007,TRIP223,2024-02-06T07:52:07Z,7,52
AUD_TRIP003_00008,TRIP223,2024-02-06T07:52:08Z,8,50
AUD_TRIP003_00009,TRIP223,2024-02-06T07:52:09Z,9,60
AUD_TRIP003_00010,TRIP223,2024-02-06T07:52:10Z,10,65
AUD_TRIP003_00011,TRIP223,2024-02-06T07:52:11Z,11,62
AUD_TRIP003_00012,TRIP223,2024-02-06T07:52:12Z,12,66
AUD_TRIP003_00013,TRIP223,2024-02-06T07:52:13Z,13,69
AUD_TRIP003_00014,TRIP223,2024-02-06T07:52:14Z,14,58
AUD_TRIP003_00015,TRIP223,2024-02-06T07:52:15Z,15,57
AUD_TRIP003_00016,TRIP223,2024-02-06T07:52:16Z,16,67
AUD_TRIP003_00017,TRIP223,2024-02-06T07:52:17Z,17,51
AUD_TRIP003_00018,TRIP223,2024-02-06T07:52:18Z,18,65
AUD_TRIP003_00019,TRIP223,2024-02-06T07:52:19Z,19,68
AUD_TRIP003_00020,TRIP223,2024-02-06T07:52:20Z,20,68
AUD_TRIP003_00021,TRIP223,2024-02-06T07:52:21Z,21,55
AUD_TRIP003_00022,TRIP223,2024-02-06T07:52:22Z,22,65
AUD_TRIP003_00023,TRIP223,2024-02-06T07:52:23Z,23,55
AUD_TRIP003_00024,TRIP223,2024-02-06T07:52:24Z,24,51
AUD_TRIP003_00025,TRIP223,2024-02-06T07:52:25Z,25,59
AUD_TRIP003_00026,TRIP223,2024-02-06T07:52:26Z,26,59
AUD_TRIP003_00027,TRIP223,2024-02-06T07:52:27Z,27,63
AUD_TRIP003_00028,TRIP223,2024-02-06T07:52:28Z,28,60
AUD_TRIP003_00029,TRIP223,2024-02-06T07:52:29Z,29,51
AUD_TRIP003_00030,TRIP223,2024-02-06T07:52:30Z,30,58
AUD_TRIP003_00031,TRIP223,2024-02-06T07:52:31Z,31,64
AUD_TRIP003_00032,TRIP223,2024-02-06T07:52:32Z,32,59
AUD_TRIP003_00033,TRIP223,2024-02-06T07:52:33Z,33,55
AUD_TRIP003_00034,TRIP223,2024-02-06T07:52:34Z,34,66
AUD_TRIP003_00035,TRIP223,2024-02-06T07:52:35Z,35,59
AUD_TRIP003_00036,TRIP223,2024-02-06T07:52:36Z,36,61
AUD_TRIP003_00037,TRIP223,2024-02-06T07:52:37Z,37,63
AUD_TRIP003_00038,TRIP223,2024-02-06T07:52:38Z,38,61
AUD_TRIP003_00039,TRIP223,2024-02-06T07:52:39Z,39,63
AUD_TRIP003_00040,TRIP223,2024-02-06T07:52:40Z,40,65
AUD_TRIP003_00041,TRIP223,2024-02-06T07:52:41Z,41,69
AUD_TRIP003_00042,TRIP223,2024-02-06T07:52:42Z,42,67
AUD_TRIP003_00043,TRIP223,2024-02-06T07:52:43Z,43,64
AUD_TRIP003_00044,TRIP223,2024-02-06T07:52:44Z,44,59
AUD_TRIP003_00045,TRIP223,2024-02-06T07:52:45Z,45,63
