audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db
AUD001,TRIP221,2024-02-06T06:45:00Z,0,50
AUD002,TRIP221,2024-02-06T06:45:01Z,1,67
AUD003,TRIP221,2024-02-06T06:45:02Z,2,54
AUD004,TRIP221,2024-02-06T06:45:03Z,3,50
AUD005,TRIP221,2024-02-06T06:45:04Z,4,68
AUD006,TRIP221,2024-02-06T06:45:05Z,5,61
AUD007,TRIP221,2024-02-06T06:45:06Z,6,69
AUD008,TRIP221,2024-02-06T06:45:07Z,7,64
AUD009,TRIP221,2024-02-06T06:45:08Z,8,59
AUD010,TRIP221,2024-02-06T06:45:09Z,9,50
AUD011,TRIP221,2024-02-06T06:45:10Z,10,60
AUD012,TRIP221,2024-02-06T06:45:11Z,11,62
AUD013,TRIP221,2024-02-06T06:45:12Z,12,52
AUD014,TRIP221,2024-02-06T06:45:13Z,13,51
AUD015,TRIP221,2024-02-06T06:45:14Z,14,57
AUD016,TRIP221,2024-02-06T06:45:15Z,15,51
AUD017,TRIP221,2024-02-06T06:45:16Z,16,58
AUD018,TRIP221,2024-02-06T06:45:17Z,17,56
AUD019,TRIP221,2024-02-06T06:45:18Z,18,69
AUD020,TRIP221,2024-02-06T06:45:19Z,19,67
AUD021,TRIP221,2024-02-06T06:45:20Z,20,50
AUD022,TRIP221,2024-02-06T06:45:21Z,21,61
AUD023,TRIP221,2024-02-06T06:45:22Z,22,60
AUD024,TRIP221,2024-02-06T06:45:23Z,23,66
AUD025,TRIP221,2024-02-06T06:45:24Z,24,52
AUD026,TRIP221,2024-02-06T06:45:25Z,25,57
AUD027,TRIP221,2024-02-06T06:45:26Z,26,54
AUD028,TRIP221,2024-02-06T06:45:27Z,27,60
AUD029,TRIP221,2024-02-06T06:45:28Z,28,70
AUD030,TRIP221,2024-02-06T06:45:29Z,29,56
AUD031,TRIP221,2024-02-06T06:45:30Z,30,53
AUD032,TRIP221,2024-02-06T06:45:31Z,31,65
AUD033,TRIP221,2024-02-06T06:45:32Z,32,58
AUD034,TRIP221,2024-02-06T06:45:33Z,33,61
AUD035,TRIP221,2024-02-06T06:45:34Z,34,69
AUD036,TRIP221,2024-02-06T06:45:35Z,35,52
AUD037,TRIP221,2024-02-06T06:45:36Z,36,70
AUD038,TRIP221,2024-02-06T06:45:37Z,37,63
AUD039,TRIP221,2024-02-06T06:45:38Z,38,50
AUD040,TRIP221,2024-02-06T06:45:39Z,39,51
AUD041,TRIP221,2024-02-06T06:45:40Z,40,57
AUD042,TRIP221,2024-02-06T06:45:41Z,41,60
AUD043,TRIP221,2024-02-06T06:45:42Z,42,63
AUD044,TRIP221,2024-02-06T06:45:43Z,43,51
AUD045,TRIP221,2024-02-06T06:45:44Z,44,69
AUD046,TRIP221,2024-02-06T06:45:45Z,45,66
AUD047,TRIP221,2024-02-06T06:45:46Z,46,70
AUD048,TRIP221,2024-02-06T06:45:47Z,47,60
AUD049,TRIP221,2024-02-06T06:45:48Z,48,58
AUD050,TRIP221,2024-02-06T06:45:49Z,49,51
AUD051,TRIP221,2024-02-06T06:45:50Z,50,68
AUD052,TRIP221,2024-02-06T06:45:51Z,51,60
AUD053,TRIP221,2024-02-06T06:45:52Z,52,54
AUD054,TRIP221,2024-02-06T06:45:53Z,53,59
AUD055,TRIP221,2024-02-06T06:45:54Z,54,55
AUD056,TRIP221,2024-02-06T06:45:55Z,55,68
AUD057,TRIP221,2024-02-06T06:45:56Z,56,50
AUD058,TRIP221,2024-02-06T06:45:57Z,57,56
AUD059,TRIP221,2024-02-06T06:45:58Z,58,59
AUD060,TRIP221,2024-02-06T06:45:59Z,59,70
AUD061,TRIP221,2024-02-06T06:46:00Z,60,62
AUD062,TRIP221,2024-02-06T06:46:01Z,61,61
AUD063,TRIP221,2024-02-06T06:46:02Z,62,58
AUD064,TRIP221,2024-02-06T06:46:03Z,63,58
AUD065,TRIP221,2024-02-06T06:46:04Z,64,53
AUD066,TRIP221,2024-02-06T06:46:05Z,65,55
AUD067,TRIP221,2024-02-06T06:46:06Z,66,59
AUD068,TRIP221,2024-02-06T06:46:07Z,67,50
AUD069,TRIP221,2024-02-06T06:46:08Z,68,67
AUD070,TRIP221,2024-02-06T06:46:09Z,69,60
AUD071,TRIP221,2024-02-06T06:46:10Z,70,55
AUD072,TRIP221,2024-02-06T06:46:11Z,71,60
AUD073,TRIP221,2024-02-06T06:46:12Z,72,55
AUD074,TRIP221,2024-02-06T06:46:13Z,73,67
AUD075,TRIP221,2024-02-06T06:46:14Z,74,54
AUD076,TRIP221,2024-02-06T06:46:15Z,75,68
AUD077,TRIP221,2024-02-06T06:46:16Z,76,55
AUD078,TRIP221,2024-02-06T06:46:17Z,77,62
AUD079,TRIP221,2024-02-06T06:46:18Z,78,57
AUD080,TRIP221,2024-02-06T06:46:19Z,79,52
AUD081,TRIP221,2024-02-06T06:46:20Z,80,60
AUD082,TRIP221,2024-02-06T06:46:21Z,81,58
AUD083,TRIP221,2024-02-06T06:46:22Z,82,63
AUD084,TRIP221,2024-02-06T06:46:23Z,83,67
AUD085,TRIP221,2024-02-06T06:46:24Z,84,56
AUD086,TRIP221,2024-02-06T06:46:25Z,85,52
AUD087,TRIP221,2024-02-06T06:46:26Z,86,54
AUD088,TRIP221,2024-02-06T06:46:27Z,87,69
AUD089,TRIP221,2024-02-06T06:46:28Z,88,59
AUD090,TRIP221,2024-02-06T06:46:29Z,89,51
AUD091,TRIP221,2024-02-06T06:46:30Z,90,58
AUD092,TRIP221,2024-02-06T06:46:31Z,91,65
AUD093,TRIP221,2024-02-06T06:46:32Z,92,63
AUD094,TRIP221,2024-02-06T06:46:33Z,93,70
AUD095,TRIP221,2024-02-06T06:46:34Z,94,56
AUD096,TRIP221,2024-02-06T06:46:35Z,95,56
AUD097,TRIP221,2024-02-06T06:46:36Z,96,59
AUD098,TRIP221,2024-02-06T06:46:37Z,97,50
AUD099,TRIP221,2024-02-06T06:46:38Z,98,62
AUD100,TRIP221,2024-02-06T06:46:39Z,99,70
AUD101,TRIP221,2024-02-06T06:46:40Z,100,66
AUD102,TRIP221,2024-02-06T06:46:41Z,101,56
AUD103,TRIP221,2024-02-06T06:46:42Z,102,60
AUD104,TRIP221,2024-02-06T06:46:43Z,103,62
AUD105,TRIP221,2024-02-06T06:46:44Z,104,65
AUD106,TRIP221,2024-02-06T06:46:45Z,105,56
AUD107,TRIP221,2024-02-06T06:46:46Z,106,68
AUD108,TRIP221,2024-02-06T06:46:47Z,107,70
AUD109,TRIP221,2024-02-06T06:46:48Z,108,53
AUD110,TRIP221,2024-02-06T06:46:49Z,109,62
AUD111,TRIP221,2024-02-06T06:46:50Z,110,58
AUD112,TRIP221,2024-02-06T06:46:51Z,111,65
AUD113,TRIP221,2024-02-06T06:46:52Z,112,59
AUD114,TRIP221,2024-02-06T06:46:53Z,113,58
AUD115,TRIP221,2024-02-06T06:46:54Z,114,58
AUD116,TRIP221,2024-02-06T06:46:55Z,115,52
AUD117,TRIP221,2024-02-06T06:46:56Z,116,67
AUD118,TRIP221,2024-02-06T06:46:57Z,117,56
AUD119,TRIP221,2024-02-06T06:46:58Z,118,70
AUD120,TRIP221,2024-02-06T06:46:59Z,119,50
AUD121,TRIP221,2024-02-06T06:47:00Z,120,65
AUD122,TRIP221,2024-02-06T06:47:01Z,121,69
AUD123,TRIP221,2024-02-06T06:47:02Z,122,58
AUD124,TRIP221,2024-02-06T06:47:03Z,123,66
AUD125,TRIP221,2024-02-06T06:47:04Z,124,56
AUD126,TRIP221,2024-02-06T06:47:05Z,125,57
AUD127,TRIP221,2024-02-06T06:47:06Z,126,69
AUD128,TRIP221,2024-02-06T06:47:07Z,127,69
AUD129,TRIP221,2024-02-06T06:47:08Z,128,63
AUD130,TRIP221,2024-02-06T06:47:09Z,129,70
AUD131,TRIP221,2024-02-06T06:47:10Z,130,70
AUD132,TRIP221,2024-02-06T06:47:11Z,131,68
AUD133,TRIP221,2024-02-06T06:47:12Z,132,51
AUD134,TRIP221,2024-02-06T06:47:13Z,133,70
AUD135,TRIP221,2024-02-06T06:47:14Z,134,50
AUD136,TRIP221,2024-02-06T06:47:15Z,135,53
AUD137,TRIP221,2024-02-06T06:47:16Z,136,64
AUD138,TRIP221,2024-02-06T06:47:17Z,137,62
AUD139,TRIP221,2024-02-06T06:47:18Z,138,55
AUD140,TRIP221,2024-02-06T06:47:19Z,139,61
AUD141,TRIP221,2024-02-06T06:47:20Z,140,58
AUD142,TRIP221,2024-02-06T06:47:21Z,141,58
AUD143,TRIP221,2024-02-06T06:47:22Z,142,60
AUD144,TRIP221,2024-02-06T06:47:23Z,143,57
AUD145,TRIP221,2024-02-06T06:47:24Z,144,70
AUD146,TRIP221,2024-02-06T06:47:25Z,145,52
AUD147,TRIP221,2024-02-06T06:47:26Z,146,65
AUD148,TRIP221,2024-02-06T06:47:27Z,147,59
AUD149,TRIP221,2024-02-06T06:47:28Z,148,60
AUD150,TRIP221,2024-02-06T06:47:29Z,149,55
AUD151,TRIP221,2024-02-06T06:47:30Z,150,54
AUD152,TRIP221,2024-02-06T06:47:31Z,151,70
AUD153,TRIP221,2024-02-06T06:47:32Z,152,56
AUD154,TRIP221,2024-02-06T06:47:33Z,153,64
AUD155,TRIP221,2024-02-06T06:47:34Z,154,53
AUD156,TRIP221,2024-02-06T06:47:35Z,155,63
AUD157,TRIP221,2024-02-06T06:47:36Z,156,61
AUD158,TRIP221,2024-02-06T06:47:37Z,157,60
AUD159,TRIP221,2024-02-06T06:47:38Z,158,55
AUD160,TRIP221,2024-02-06T06:47:39Z,159,58
AUD161,TRIP221,2024-02-06T06:47:40Z,160,67
AUD162,TRIP221,2024-02-06T06:47:41Z,161,55
AUD163,TRIP221,2024-02-06T06:47:42Z,162,65
AUD164,TRIP221,2024-02-06T06:47:43Z,163,65
AUD165,TRIP221,2024-02-06T06:47:44Z,164,69
AUD166,TRIP221,2024-02-06T06:47:45Z,165,54
AUD167,TRIP221,2024-02-06T06:47:46Z,166,55
AUD168,TRIP221,2024-02-06T06:47:47Z,167,58
AUD169,TRIP221,2024-02-06T06:47:48Z,168,70
AUD170,TRIP221,2024-02-06T06:47:49Z,169,69
AUD171,TRIP221,2024-02-06T06:47:50Z,170,57
AUD172,TRIP221,2024-02-06T06:47:51Z,171,57
AUD173,TRIP221,2024-02-06T06:47:52Z,172,65
AUD174,TRIP221,2024-02-06T06:47:53Z,173,52
AUD175,TRIP221,2024-02-06T06:47:54Z,174,52
AUD176,TRIP221,2024-02-06T06:47:55Z,175,62
AUD177,TRIP221,2024-02-06T06:47:56Z,176,67
AUD178,TRIP221,2024-02-06T06:47:57Z,177,69
AUD179,TRIP221,2024-02-06T06:47:58Z,178,52
AUD180,TRIP221,2024-02-06T06:47:59Z,179,54
AUD181,TRIP221,2024-02-06T06:48:00Z,180,85
AUD182,TRIP221,2024-02-06T06:48:01Z,181,88
AUD183,TRIP221,2024-02-06T06:48:02Z,182,82
AUD184,TRIP221,2024-02-06T06:48:03Z,183,91
AUD185,TRIP221,2024-02-06T06:48:04Z,184,83
AUD186,TRIP221,2024-02-06T06:48:05Z,185,94
AUD187,TRIP221,2024-02-06T06:48:06Z,186,97
AUD188,TRIP221,2024-02-06T06:48:07Z,187,90
AUD189,TRIP221,2024-02-06T06:48:08Z,188,95
AUD190,TRIP221,2024-02-06T06:48:09Z,189,94
AUD191,TRIP221,2024-02-06T06:48:10Z,190,95
AUD192,TRIP221,2024-02-06T06:48:11Z,191,98
AUD193,TRIP221,2024-02-06T06:48:12Z,192,87
AUD194,TRIP221,2024-02-06T06:48:13Z,193,97
AUD195,TRIP221,2024-02-06T06:48:14Z,194,91
AUD196,TRIP221,2024-02-06T06:48:15Z,195,82
AUD197,TRIP221,2024-02-06T06:48:16Z,196,89
AUD198,TRIP221,2024-02-06T06:48:17Z,197,88
AUD199,TRIP221,2024-02-06T06:48:18Z,198,92
AUD200,TRIP221,2024-02-06T06:48:19Z,199,93
AUD201,TRIP221,2024-02-06T06:48:20Z,200,86
AUD202,TRIP221,2024-02-06T06:48:21Z,201,92
AUD203,TRIP221,2024-02-06T06:48:22Z,202,88
AUD204,TRIP221,2024-02-06T06:48:23Z,203,87
AUD205,TRIP221,2024-02-06T06:48:24Z,204,82
AUD206,TRIP221,2024-02-06T06:48:25Z,205,96
AUD207,TRIP221,2024-02-06T06:48:26Z,206,92
